Comment in English,Spam / Ham,Sentiment
"how dare you take control away from stupid drivers?
 WHERE WILL I GET MY IDIOT DRIVER FIX ON YOUTUBE?",spam,negative
i am scared.......,spam,negative
Earthquakes will have a field day with this one,ham,neutral
Loving the concept,spam,positive
Hey elon,spam,neutral
"Can I push the ""ludicrous"" button and take off into the tunnel doing 0-60 in 2 seconds?",spam,neutral
Hey now you're thinking with portals,spam,neutral
Ngl this is kinda boring,spam,negative
What if an idiot falls into the hole when the Tesla went down,ham,neutral
Cool,spam,positive
This video title both most vague and most descriptive of all titles,spam,neutral
If I saw this in real life I be like oml,spam,neutral
"Without searching 
This pops up in my suggestion after 3 years",spam,neutral
Isn’t that just a train?,spam,neutral
that will happen in 21century or 2045+,spam,neutral
RTX on,spam,neutral
Where the hell isn't this like awesome yet holy shit this would be great,spam,positive
train cars,spam,neutral
It sucks it’s only for Tesla,spam,negative
I really want the name of this song,spam,neutral
"I saw this 2 yrs ago
And it's recommended again
Lol hi",spam,neutral
"So is there just a hole in the road? This seems kinda dangerous... 
Haha but really cool concept I think this will be the future if not flying traffic is:))",ham,neutral
This si gonna take him years,spam,negative
Why is this on my recommendation,spam,neutral
my boi elon reading the future,spam,neutral
I have one question. Why would anyone actually need this?,spam,neutral
Future is weird,spam,negative
Jesus christ what a bottleneck,spam,neutral
"This reminds me of all the people in WALL-E, but replaced with cars",spam,neutral
Im speed,spam,neutral
"Many cars will fall in these holes, cars will fall in the hole",ham,negative
thats actually really cool,spam,positive
why?,spam,neutral
"Top speed in tunnels: 200 km/h
Germany: hold my autobahn",spam,negative
Yep then little Timmy falls down the Tesla pit,ham,neutral
Nice,spam,positive
Hmmm so Elon musk created the boring company,spam,neutral
Wow! It'll be cool !,spam,positive
This would take another 100 years to make,spam,neutral
"yessss REALLY BORING REALLLYYYY smh NIGGA 
WHAT KIND OF IMAGINATION YALL HAVE TO THINK ABT THIS",spam,negative
This is sick,spam,negative
what would happened if a car were to be on the pads like on the surface,ham,neutral
This cud fail 100%,spam,negative
Sounds boring...,spam,negative
Is it only for Tesla owners,spam,neutral
What the point of a car then,spam,neutral
What about the rain and snow?,ham,neutral
Boring.,spam,negative
Does it have a SpaceX DLC?,spam,neutral
"A metro rail with extra steps, inefficiency, and fuel cost.",ham,negative
Backsong is like in Oneplus 5T,spam,neutral
😀👍 super idea!!💯💯💯💯,spam,positive
Just imagine getting into a crash in there,ham,negative
10/10 for the idea..1/10 for practicality,spam,neutral
"How would this work with cities that you cant build 
underground like Florida? would the be floating tunnels lol-",ham,negative
What if a gas car hops on and gets it in the tunnel or will it know if it’s a gas car,ham,neutral
0:44 im sorry but you probably cant make that underground,spam,negative
boooooooooooooooooooooooooooooooooooooooooooooooooooooooring,spam,negative
Im like you idea!! Is nice!!,spam,positive
I like it.,spam,positive
Imagine if you need to own a Tesla to use this😂😂,spam,negative
"Me : inside tunnel 
Radio : signs of earthquake in our city",spam,negative
Sweet idea melon husk,spam,positive
"Uh oh crackheads are gonna love this... Watch your going to see like 
5 homeless peeps riding this down into there new cardboard duplex",ham,neutral
So basically you’re gonna need to buy a Tesla,spam,neutral
Use me as a here before 6.9 million views comment.,spam,neutral
"Why? If this is the future of vehicles I honestly don’t care for it because 
if you need a platform to drive your vehicle damn your lazy. What’s next a platform that takes your elevator?",spam,neutral
elon is the creaziest man since ever,spam,neutral
"I don't think this concept is feasible. It simply can't be making positive returns. The cost of digging a subway tunnel in US city is about 2.5 billion dollars, so...

Or maybe Elon Musk signed some kind of deal with the devil for 99% discount for digging tunnels, I dunno.",ham,negative
I prefer Subway,spam,negative
What about the electric?,ham,neutral
Its like an underground for ur car USELESS,spam,negative
So why bother having a car at all,spam,negative
imagine if you get into that thing on foot it would be so fun,spam,neutral
60k people like this ..... i wonder if they still like it when they crash the car into a hole in the road,ham,negative
cool,spam,positive
Comming soon to you in 2380,spam,negative
Does the Boring Machine have a lithium-extraction function built in?   -.^,spam,neutral
"Frankly, it's just subway for cars",spam,neutral
The new Gta6 trailer be looking good...,spam,positive
Bunch of holes in the earth now,spam,neutral
INVEST,spam,neutral
is this a game,spam,neutral
2120 normal road will be better than this tunnel.,spam,negative
is that a tesla,spam,neutral
This is a great idea not gonna lie,spam,positive
Bruh even the earth is turning into a street 😂,spam,neutral
That's not boring,spam,neutral
Is there a extra toll or do u have to book it in ur Tesla screen,ham,neutral
Thst future look copl,spam,neutral
Why Elon?,spam,neutral
"Boring company is not actually boring, it's Boring. Like drilling holes. 🤯",spam,neutral
"Jesus saves! Confess Jesus is Lord and believe in your heart that 
God raised Him from the dead and you will be saved!! (Rom. 10:9)",spam,neutral
But is it only for rich or for everyone?,ham,neutral
This is wow 🤩,spam,positive
I don't think this is a great idea,spam,negative
"love it its still amazing cause i dont like future cause 
it dont have alot of details i like it also on road not on sky.",spam,positive
Totally unsafe if some one falls in that hole,ham,negative
Totally safe there is just a hole in the road after the elevator goes down,ham,neutral
"I’m sorry but this doesn’t make sense to me. It will be slow as roads
 because once every starts using the tunnels then there will be lines and then you mine as well drive there",ham,neutral
Bullshit...,spam,negative
The *boring* company,spam,negative
i like it,spam,positive
So how much of my property do I have to sell to use this dlc?,spam,neutral
this takes the london underground to a whole new level,spam,neutral
"ՏᑌᗷᗷIᑎᘜ TO ᗩᑎYOᑎᗴ ᗯᕼO ᒪIKᗴ'Տ TᕼIՏ ᑕOᗰᗰᗴᑎT

ᗩᑎᗪ ՏᑌᗷՏ TO ᗰᗴ ᗷᗩᑕK 👈❤️🔥 I'ᗰ ᖴᗩՏT 🔥 Lets grow together!",spam,neutral
guest what: its only for tesla cars,spam,neutral
this will probably be in mars firdt,spam,neutral
big brainnnnnnn,spam,neutral
Why not just use the self driving part of the Tesla what’s the point of the carrier thing.,ham,neutral
utopia,spam,neutral
How is this boring?,spam,neutral
"We use walking to get somewhere. We were too lazy to walk, so we domesticated the horses,
 they were too slow, so we invented the car and now we are building trains for cars. Nice",spam,neutral
"What if...someone falls into that hole if he is behind the tesla *in night*....?🧐
 and if it’s a separate lane for tesla...then it’s gonna cause more traffic...😑",ham,negative
Genius👌,spam,positive
Amazing!!! I wish this comes true. It will save so much time.,spam,positive
Lol 6.9Milion views,spam,neutral
I don't want to live like this I'll stick with a supra,spam,negative
"2020: I wish we had an elevator
9083: I LOVE IT",spam,neutral
(° ͜ʖ°),spam,neutral
This is how the earth will collapse. Frack away!,spam,negative
Red vented,spam,neutral
"The future is here, still waiting for flying cars tho",spam,neutral
well we can get a new idea for Final Destination,spam,neutral
"Elon musk's plan for hyperloop is great.
Actually every elon's work is great.
Elon the futurist is gonna change the world.",spam,positive
Lul rocked me,spam,neutral
I one question. How would that be,spam,neutral
What's the name of this music?,spam,neutral
"“Where should we build a new train track?” “Sorry, all this city is full. Please try again later.”",spam,neutral
BORING,spam,negative
Boring,spam,negative
This new minecraft train update kinda stinks,spam,negative
r u ok elon,spam,neutral
The Boring Company is quite interesting,spam,positive
yeah this sure is BORING,spam,negative
..I can do  this programming,spam,neutral
Lol trust me you're gonna see a million cars line up to use the tunnel,ham,neutral
i care more about that flamethrower,spam,negative
Just wait for the grandma to drive into the hole when the lift is lowered,ham,neutral
"Nobody:
Hyperpods: 0:36",spam,neutral
IS THIS GOING TO BE REAL THO PLEASE SOMEBODY TELL MW,spam,neutral
"“So what i learned today”

Robots are gonna take over the world",spam,neutral
If this is going to be real then wow,spam,neutral
"Elon musk
In 2090 buys earth",spam,neutral
Will this work on non-tesla cars too?,ham,neutral
Soo they build this tunnel?,spam,neutral
Don’t get it,spam,negative
They should do that but make it only for teslas,ham,neutral
Elon is the man of the future,spam,neutral
The future is amazing,spam,positive
What that song in this video?,spam,neutral
"Ideas are one thing, implementation is another.",spam,neutral
Tesla,spam,neutral
"just like quarantine
booring",spam,negative
Thats boring,spam,negative
People call him mad man until.......,spam,neutral
imagine hearing rumbling underground forever,ham,neutral
"Do u drive a car or use subway?
Me:",spam,neutral
Damn Elon Musk is Really Crazy  I wish I have tesla,spam,neutral
"Actually, It look pretty cool and Amazing from some reason.",spam,positive
“And then he fucking shot his car in space 🤣🤣🤣”,spam,neutral
New age,spam,neutral
I think America already already has enough tunnels underground,spam,negative
This would be lit no cap,spam,neutral
elon ru ok,spam,neutral
So its a transporting system to transport your transporting vehicle for your transportation?,spam,neutral
Electricity Isn't eco 🙃,spam,negative
I wish my city had some of these,spam,neutral
Or emergency stop button,spam,neutral
Very unsafe I see no emergency exit at all,ham,negative
Why did Elon Musk send a fucking car to space? It was to test the Falcon Heavy. I think...,spam,neutral
"these ubers are convenient for shadows of ""us""😂",spam,neutral
"if that can carry man, why should it be carrying those unwanted weights of car
 jeez waste of tons of energy",ham,negative
"I remember now what were going to bore, Sam... I mean Mr. Musk.",spam,negative
Interesting,spam,positive
Man this makes Elon the best tunel bruh,spam,positive
Elon are you ok?,spam,neutral
"All this make want to just stay home.
Futuristic nightmare.",spam,negative
WOW,spam,neutral
Elon do you need any help,spam,neutral
"Well,its really ""Boring"" tho.. Waitin' at traffic.",spam,neutral
Wait it's that how future work?,spam,neutral
Basicly a train track for cars.,spam,neutral
I’m excited for this. I live in LA and traffic SUCKS. I also love my Tesla,spam,positive
loud,ham,neutral
"This can’t fix traffic problem elon 
People will fight for their place",spam,negative
:( i didn’t get a tesla my family have no money,spam,neutral
"Just wait until there's a derail in one of these tunnels, cars would smash into each other causing pileups, and would make traffic even worse than ever. Not to mention the fact that there is no emergency stop/braking system on the pad. What if there's a fire, an explosion and a pile of smoke coming from the tunnels, earthquakes? Etc. I'd just prefer to be stuck in traffic.",spam,negative
"Before I leave this earth I’ll ride wherever the tunnels are,
 Los Angeles, Vegas or wherever!!!! TAKE MY MONEY 💰!",spam,positive
Elon r u ok?,spam,neutral
"One thing that people don’t realize about driving, it’s all about sight seeing.
 Who the hell wants to look at concrete wall for   30 minutes straight.",ham,neutral
I can wait for this high speed Transportation in are City of Chicago !!!! 😎,spam,positive
what is someone jumps down there?,ham,neutral
elon is something else tbh,spam,neutral
"This is something that is inevitable in Chicago. I’ve long thought that I-290 and parts of I-90 will either have to build tunnels or build elevated highways over existing ones. 
If you look at I-290 heading into downtown Chicago there is literally no room to expand the highway - each side has access roads and houses making expansion impossible. 
An elevated highway might be cheaper to build but would likely be more expensive to maintain - especially during the winter. Some kind of steam heating built underneath the road would be needed to stop snow accumulation. 
If the costs of tunneling go down it will be the way forward for cities like Chicago where there is no more room to build standard highways.",ham,positive
Congratulations on 100K subs,spam,positive
I am speed,spam,neutral
And if it was the queue for accessing this?,ham,neutral
it would be insane if you could charge your car while riding the tunnel,ham,neutral
Funny thing is traffic is gonna exist there now,ham,neutral
Not posible its full of shit out there becouse no space for tunnels canalization,ham,positive
it will be great for countries having the worst traffic.,spam,neutral
"A subway for the rich! 
This guy is the ultimate genius.",spam,positive
Why?,spam,neutral
The “boring” company,spam,negative
This is the future,spam,neutral
"How to Access A Boring Tunnel:
Step 1: Buy A Tesla
Step 2: Put It On Cargo To Los Angeles
Step 3: Fly To Los Angeles
Step 4: Pick Your Tesla Up
Step 5: Make Your Way To The Boring Tunnel Transporter 
Step 6: Pay 500$ For It
Step 7: Use It
Step 8 (Optional): Pay 250$ To Go 200KMH
Total Spent: 1,000,000$",spam,negative
Is this real?,spam,neutral
"Wow, so unboring",spam,positive
Elon musk 2024,spam,neutral
how is it going so far?,spam,neutral
Isn't it underground train,spam,neutral
elon r u okay,spam,neutral
Noice that advanced  Elon musk=BIG BRAIN,spam,neutral
See you in a 3190,spam,neutral
gta 6 looking good,spam,neutral
I fear for future generations.,spam,negative
Elon (high af): duuude wouldnt it be so cool if we built a fuck ton of tunnels under the city?,spam,neutral
is this actually gonna be a thing??,spam,neutral
I will buy your company for thirteen dollars and fifty two cents.,spam,neutral
Elon r u OK,spam,neutral
Why does this video rememind me of that hotwheels movie...,spam,neutral
"This is a great dream Elon, I really hope you achieve this with everyone who works for you!",spam,positive
What if there was an accident inside the tunnels? Tf they gonna do then,ham,neutral
I would use It only If goes over 300mph like Hotwheels,ham,neutral
"Only a complete lack of intelligence and education could generate
 such an idea. Elon Musk is just an ordinary humanist fraud. Fucking shame.",spam,negative
Yeah 200kmh with an Opel Corsa,spam,neutral
Never gonna Happen to much Problems,spam,negative
"How many of these can co-exists? traffic would start to build 
up for these Taxis and then we would be back to square one!",ham,negative
Does this game work on Xbox?,spam,neutral
"going really fast under a city instead of going through 
the bussy traffic or going around it sounds nice",spam,positive
"Here I go hanging myself out to criticism...I agree with the concept of tunnels.
  Surface real estate is finite. The earths population is and will continue to grow and the need for that finite real estate will compete among transportation, housing and agriculture.  It is better to commute in tunnels than try to grow crops.  The two big obstacles to overcome is the mindset of man(kind) and cost per cross-sectional area.  My biggest concern is lack of foresight planning which takes into account other needs for subterranean real estate.",ham,positive
I SEE SOMEONE WATCHED THE FILM I'M A LEGEND,spam,neutral
Literally car trains,spam,neutral
"me: wow this is a great idea

my head: now i can get to starbucks at 8:00 am instead of 8:01 am",spam,neutral
Where can i buy this game? I hope Elon Musk will release it soon,spam,positive
traincar,spam,neutral
https://m.youtube.com/watch?v=BypYLtu5mGc,spam,neutral
this game looks insane ngl,spam,negative
i love how people don't have to do anything infuture,spam,positive
"Years of studying about self driving cars, and now this?? Wtf",spam,negative
Nice gameplay,spam,positive
X-Æ A-12,spam,neutral
What if there was a 6.9 earthquake that would be pretty cool.,ham,positive
Ah shit i dont like tesla,spam,negative
why did youtube recommend me this? i don't even live in the USA,spam,neutral
Personal vehicles don't make sense anymore  in an overpopulated world.,spam,negative
Society If cringe didnt exist,spam,neutral
elon r u ok,spam,neutral
Someone needs to check up on Elon...,spam,neutral
𝗚𝗧𝗔 6 𝗧𝗥𝗔𝗜𝗟𝗘𝗥 𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟,spam,neutral
Park your car and wait for your turn to enjoy tunnel.,ham,neutral
WHO WATCHING DIS IN QUARANTINE,spam,neutral
"Teslas are so sexy, I wish I have one!",spam,positive
I hate the fact that we are in 2020 and still building tunnels instead of flying cars.,ham,negative
Imagine the stuff that would go on in those tunnels...,spam,neutral
"this is a great idea. if you ever reach to do this, you could make it to be a paid service.
 ex: the ppl could call it railcar, or something like it, and put it a monthly price. how would the ppl gain acces to the tunnels? using a box (kinda like the auto toll ones) in its car. i hope anyone saw this idea.",ham,positive
"Elon said ""why not"", isnt that true? so, why not do homeworks..",spam,neutral
Earth is Elon’s playground,spam,neutral
The dumbest idea ever thought,spam,negative
Anyone watching this in 2020?,spam,neutral
why disebt elon do something to save earth#,spam,neutral
"We need more Elons than Trumpies, Hillaries or Putins.",spam,neutral
So I'm guessing they going to make this only for Tesla owners good strategy,spam,positive
Rockstar add plz,spam,neutral
It’s basically a car in a car,spam,neutral
Emagin you traveling 124mph that's so cool,spam,positive
So now ur saying every single car will be a Tesla?!?,spam,neutral
Imagine havinga underground city,spam,neutral
Are you ok?,spam,neutral
my favorite song by this band. 'tunnels' is so chill to study or relax to.,spam,neutral
"there is fantasy in it, but it would cost a lot of money to build it,
 but then what would make sense for the surface to travel",spam,neutral
So boring.,spam,negative
WHEN WILL THIS BE BUILT?! :O,spam,neutral
I feel so sad for  the guy who create this company,spam,negative
This is great if u don't wanna miss a movie on Elon Musk,spam,neutral
"I think could be a real thing in Boston, and New York, it looks like a 2022 year project! Good idea",spam,positive
"How many Audi drivers will cut you up to get underground before you
?Can Elon design a Destroy an Audi app to prevent this?",spam,negative
woah is this real,spam,neutral
This is dumb. Why not just implement more public transit.,ham,negative
"Finally understood the meaning of this slang "" dope level shit""",spam,negative
are u ok elon,spam,neutral
Elon good idea 💡,spam,positive
Gotta have this beat 😩,spam,neutral
Ok so the company has thought of earth crust problems.  The surface road will become very weak.,ham,negative
1.08 Red car pulls up like a king to car elevator thingy without a bottleneck.....definitely is unbelievable! ,ham,neutral
Ngl ill piss myself,spam,negative
"how many tunnels do we need underground? for subway train, hyperloop, boring company,...",ham,negative
"The Boring Company : how to put autonomous cars on autonomous car pods.
Also The Boring Company : how to build expensive heavy load car elevators to access tunnels instead of less expensive tunnel in and out drive ways like on regular tunnels.
Would it not cost less : 1) if instead of car elevators you would have the usual tunnel driveways for several floors or like in a subterranean parking building drive ways to lower floors.
2) and leaving out the expensive high maintenance car pods and let the autonomous cars drive alone in the tunnels on the correct paths would also be better.",ham,neutral
"Man this looks a bit imaginary
It's really tough to do this
It would be better if this system was made only for Ambulance, Police Cars and other emergency vehicles",ham,neutral
"Just what the earth needs, more holes!",spam,neutral
I can imagine people getting into tunnels to make videos for YouTube,spam,neutral
"The Boring Company should consider  tunnels for flood control, a field to be researched...",ham,neutral
Elon musk is not a human 😏!,spam,neutral
They are gonna find a lot of weird stuff once they start working on those tunnels,spam,neutral
"Then one day an earthquake will happen and the tunnels will break down and 
every building on top will fall 20m down and result in dull destruction",ham,negative
"with this, highways would be considered weak and fragile. now we can travel the city when there’s a nuclear blast",ham,negative
When everyone including the police are waiting to go 100mph I will just use the old roads and step on it lol,spam,neutral
The Best One,spam,neutral
Bro Elon musk is gonna be the new evolution,spam,neutral
How do i say where i want to go?,ham,neutral
So this is what Elon Musk thinks of in the shower,spam,neutral
"Actually i thought this idea, 3years before",spam,neutral
I had this idea when i was 10 is tht makes me smart ?,spam,neutral
Wow,spam,positive
non Tesla drivers might feel jealous lol,spam,neutral
Funny how Elon can make the boring company exiting.,spam,neutral
Wow that's boring,spam,neutral
Demnn!! I love what I just watch. Make happened elon,spam,positive
Great idea,spam,positive
Who ever likes elon and his idea hit that like,spam,positive
It can be done,spam,neutral
ugh this video is so BORING,spam,negative
New cities on mars of course,spam,neutral
Perfect for new cities,ham,positive
"No, if it's like this, why do you need a car",spam,neutral
Imagine this being the future,spam,neutral
"Parked at the roadside.

The car:",spam,neutral
This is what São Paulo (Brazil) realy need...,spam,neutral
"This is just stupid...
And i like it.",spam,negative
looks like a car metro if you ask me😂😂,spam,neutral
"Elon:Uhhh...LA traffic is sucks,i'm gonna build an tunnel through the entire downtown...that will gonna be a great plan !
*a few months later*
Elon:We have dig a tunnel though the downtown LA,right ?
Advisor:Yes
Elon:Then we will sell hats of The Boring Company 
Advisor:Ok...I guess...
Elon:And then we will sell flamethrowers  to pay the money for the tunnel
Advisor:I don't think it's a good Id...
Elon:And then we will throw the leftover money to SpaceX,and then i will send my f**king car into space using the most powerful rocket we have ever made...muhahaha
Also Elon: *Starting to laughing like a psychopath*
Advisor: *ELON ARE YOU OK ?*",spam,neutral
Honestly that’s pretty cool,spam,positive
And Elon thought of this entire concept because he was stuck in traffic?,spam,neutral
only for people who cant afford gas,spam,neutral
Elon r u good my guy,spam,neutral
"Man, duh vok",spam,neutral
Which game?,spam,neutral
"Everyone saying taxis for cars or making fun, you guys lack common sense.
As self driving cars are not fully automated rn, that's why company shows us a pad on which the car is static but once it's cars are fully automated, all the cars will drive themselves in the tunnels.
This elon guy is a future genius, he thinks of years ahead( ex- colonizing mars)",ham,neutral
Elon r you ok?,spam,neutral
elon r u  ok?,spam,neutral
im scared,spam,negative
theres a road in a road,spam,neutral
dude elon musk did this right??? just checking idk whats happening,spam,neutral
Is that future of,spam,neutral
Make the future great again,spam,positive
Subways in the future be like,spam,neutral
elon is really doing the future,spam,neutral
"If they’re cars on carts on wheels, whats the point",spam,neutral
hmm i think i saw a similar movie that will smith appeared,spam,neutral
when you forget to have a speedlimit so everyone died,ham,neutral
Great for an escape,spam,neutral
elon r u ok?,spam,neutral
"It is necessary to come up with something else, but it seems a bit complicated to me not?",spam,negative
"It does not solve a shit, cars need to go away",spam,negative
"Instead of Decongesting Cities they Build freeways and Tunnels and all that does is
 Compound the Oroblems they're already having by making People from other Cities, States and Countries to move to that place thinking life has become better and safer and it adds more people compounding the problem .",ham,negative
"Cool idea but how will the car holders get back to where they started? 
Perhaps an attachment to the actual vehicle will be better. Like a couple hooks or something",ham,neutral
These tunnels look like underground mines in minecraft,spam,neutral
I think you should ad a roof that closes when the car goes down so I don’t fall into the hole,ham,neutral
This when ? tell me,spam,neutral
Whats the point of cars if there can be' cabins,spam,neutral
It's impossible!!! Because every place should be dug out to build this shit,spam,negative
"It’s cool, but being underground I suspect the scenery outside will get quite boring
*gets thrown on a SpaceX rocket and launched into the sun*",spam,neutral
This could likely happen in the future.,spam,neutral
"you are sick, it never works",spam,negative
Only Teslas allowed in these lol. THATD BE RICH,spam,neutral
"SCI FI, unrealizable, better to concern on Hyperloop, is really nice and can be real in this century.",spam,negative
Elon doesn’t talk about the future. He’s creating it,spam,neutral
This is gonna be epic when is finished!,spam,positive
This reminds me of those scale electrics cars!,spam,neutral
elon are you ok,spam,neutral
"Well, can this be done within 50 years?",spam,neutral
"The question is, how is all this going to get organized... Or how much will it cost…
 Maybe would be okay to use like  the HOV express paid lanes, something like that",ham,neutral
Jesus christ what a deathtrap!,spam,negative
"This is never gonna happen, it's a huge waste of resources and a logistics nightmare. 
Elon Musk's cult will defend everything he invests in.",spam,negative
Do you have to have a Tesla,ham,neutral
why dont u just build a trian underground?,ham,neutral
*Elon Musk invents...the tunnel!*,spam,neutral
This reminds me of those car lifts from evangelion,spam,neutral
Ingenious but boring,spam,negative
imagine using your arms legs and most of the brain to drive,spam,neutral
Its been 3 years,spam,neutral
How are they going to dig all that hole and spaces underground? Cars and people are gonna fall into the holes.,ham,negative
"I highly doubt a bunch of tweakers in their 1988 Datsun will be ""allowed' to use this. I'm sure its a hefty price to use it.",spam,negative
"what about other 1000 cars that left on the street? how many wholes do you need.
..i like the vision but I dont see how its going to be implemented...",ham,neutral
